country,first_year_train,last_year_train,sex,max_age,nn_layers,latent_dim,forecast_horizon,log_score,date,time
sweden,1933,1992,Male,100,1,8,1,428.4645231697144,06/02/2023,08:26:11
sweden,1933,1992,Male,100,1,8,2,440.55159912969805,06/02/2023,08:26:11
sweden,1933,1992,Male,100,1,8,3,437.1681455572997,06/02/2023,08:26:11
sweden,1933,1992,Male,100,1,8,4,453.8270570169959,06/02/2023,08:26:11
sweden,1933,1992,Male,100,1,8,5,466.7565333306951,06/02/2023,08:26:11
sweden,1933,1992,Male,100,1,8,6,470.3759797705214,06/02/2023,08:26:11
sweden,1933,1992,Male,100,1,8,7,477.1440598213703,06/02/2023,08:26:11
sweden,1933,1992,Male,100,1,8,8,494.1856032443713,06/02/2023,08:26:11
sweden,1933,1992,Male,100,1,8,9,499.1081273026051,06/02/2023,08:26:11
sweden,1933,1992,Male,100,1,8,10,506.3077448873439,06/02/2023,08:26:11
sweden,1933,1992,Male,100,1,9,1,426.35152317886985,06/02/2023,08:29:36
sweden,1933,1992,Male,100,1,9,2,440.0316389668038,06/02/2023,08:29:36
sweden,1933,1992,Male,100,1,9,3,440.0167415967186,06/02/2023,08:29:36
sweden,1933,1992,Male,100,1,9,4,457.9414060070776,06/02/2023,08:29:36
sweden,1933,1992,Male,100,1,9,5,469.2769880805411,06/02/2023,08:29:36
sweden,1933,1992,Male,100,1,9,6,474.34156459371303,06/02/2023,08:29:36
sweden,1933,1992,Male,100,1,9,7,479.46984346429366,06/02/2023,08:29:36
sweden,1933,1992,Male,100,1,9,8,501.10664993249287,06/02/2023,08:29:36
sweden,1933,1992,Male,100,1,9,9,504.161297237674,06/02/2023,08:29:36
sweden,1933,1992,Male,100,1,9,10,511.77516998492825,06/02/2023,08:29:36
sweden,1934,1993,Male,100,1,1,1,638.3429211474252,06/02/2023,08:30:40
sweden,1934,1993,Male,100,1,1,2,588.6175839987453,06/02/2023,08:30:40
sweden,1934,1993,Male,100,1,1,3,626.9257112895264,06/02/2023,08:30:40
sweden,1934,1993,Male,100,1,1,4,654.4276288385686,06/02/2023,08:30:40
sweden,1934,1993,Male,100,1,1,5,679.5347407642136,06/02/2023,08:30:40
sweden,1934,1993,Male,100,1,1,6,717.3675868052638,06/02/2023,08:30:40
sweden,1934,1993,Male,100,1,1,7,810.5221154980799,06/02/2023,08:30:40
sweden,1934,1993,Male,100,1,1,8,858.7461335292015,06/02/2023,08:30:40
sweden,1934,1993,Male,100,1,1,9,871.2035837894866,06/02/2023,08:30:40
sweden,1934,1993,Male,100,1,1,10,852.7049772649133,06/02/2023,08:30:40
sweden,1934,1993,Male,100,1,2,1,492.1560590394811,06/02/2023,08:40:23
